"Story","Title","Result","Date","Stability","Duration (s)"
"Categories CURD test with steps","This will create Categories new ","SUCCESS","2022-06-07T13:40:37.071+01:00[Europe/London]","0.0","2.92"
"Categories CURD test with steps","Verify that the Categories added in to stack","SUCCESS","2022-06-07T13:40:40.029+01:00[Europe/London]","0.0","0.04"
"Categories CURD test with steps","This will Updated created id","SUCCESS","2022-06-07T13:40:40.075+01:00[Europe/London]","0.0","0.06"
"Categories CURD test with steps","This will Delate created id","SUCCESS","2022-06-07T13:40:40.135+01:00[Europe/London]","0.0","0.5"
"Product CURD test with steps","This will create a new product","SUCCESS","2022-06-07T13:40:41.735+01:00[Europe/London]","0.0","0.07"
"Product CURD test with steps","Verify that the product added in to stack","SUCCESS","2022-06-07T13:40:41.802+01:00[Europe/London]","0.0","0.02"
"Product CURD test with steps","This will Delate created id","SUCCESS","2022-06-07T13:40:41.871+01:00[Europe/London]","0.0","0.04"
"Services CURD test with steps","This will create a services new ","SUCCESS","2022-06-07T13:40:41.948+01:00[Europe/London]","0.0","0.05"
"Services CURD test with steps","Verify that the services added in to stack","SUCCESS","2022-06-07T13:40:41.994+01:00[Europe/London]","0.0","0.01"
"Services CURD test with steps","This will Updated created id","SUCCESS","2022-06-07T13:40:42.009+01:00[Europe/London]","0.0","0.04"
"Services CURD test with steps","This will Delate created id","SUCCESS","2022-06-07T13:40:42.047+01:00[Europe/London]","0.0","0.07"
"Store CURD test with steps","This will create a new store ","SUCCESS","2022-06-07T13:40:42.144+01:00[Europe/London]","0.0","0.04"
"Store CURD test with steps","Verify that the store added in to stack","SUCCESS","2022-06-07T13:40:42.186+01:00[Europe/London]","0.0","0.02"
"Store CURD test with steps","This will Updated created id","SUCCESS","2022-06-07T13:40:42.202+01:00[Europe/London]","0.0","0.04"
"Store CURD test with steps","This will Delate created id","SUCCESS","2022-06-07T13:40:42.239+01:00[Europe/London]","0.0","0.03"
"Utilities CURD test with steps","","SUCCESS","2022-06-07T13:40:42.305+01:00[Europe/London]","0.0","0.85"
